,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
142,04-04-2017,1982941,1,0,1,249
143,04-04-2017,1982971,25,35,1,54000
144,04-04-2017,1983011,58,88,1,19600
145,04-04-2017,1983021,26,118,1,800
146,04-04-2017,1986881,1,0,1,1350
147,04-04-2017,1986951,102,32,1,29000
148,04-04-2017,1986961,102,32,1,26000
149,04-04-2017,1986971,102,32,1,8000
150,04-04-2017,1986981,102,32,1,17000
151,04-04-2017,1987021,15,9,1,6600
152,04-04-2017,1987141,60,38,1,13500
153,04-04-2017,1987271,2,0,1,900
154,04-04-2017,1987321,15,9,1,7200
155,04-04-2017,1987371,1,0,1,14000
156,04-04-2017,1987491,4,4,1,13000
157,04-04-2017,1987551,21,41,1,11000
158,04-04-2017,1987571,46,70,1,5100
159,04-04-2017,1987581,39,15,1,925
160,04-04-2017,1987611,93,38,1,713
161,04-04-2017,1987721,20,18,1,6000
184,05-04-2017,1987921,3,1,1,738
185,05-04-2017,1987931,3,1,1,675
186,05-04-2017,1987961,5,1,1,7000
187,05-04-2017,1987971,5,1,1,6200
188,05-04-2017,1988021,2,15,1,4700
189,05-04-2017,1988031,25,6,1,6291
190,05-04-2017,1988061,25,6,1,4554
191,05-04-2017,1988101,25,6,1,5053
192,05-04-2017,1988111,1,0,1,738
193,05-04-2017,1988121,8,6,1,7500
194,05-04-2017,1988151,63,39,1,13500
195,05-04-2017,1988201,63,39,1,16500
196,05-04-2017,1988231,63,39,1,8000
197,05-04-2017,1988261,63,39,1,26000
198,05-04-2017,1988301,106,32,1,7000
199,05-04-2017,1988341,106,32,1,29000
200,05-04-2017,1988371,106,32,1,5000
201,05-04-2017,1988401,94,38,1,1375
202,05-04-2017,1988431,94,38,1,563
203,05-04-2017,1988451,94,38,1,788
204,05-04-2017,1988481,94,38,1,613
205,05-04-2017,1988491,2,0,1,12500
206,05-04-2017,1988491,3,0,1,12500
207,05-04-2017,1988501,94,38,1,613
208,05-04-2017,1988511,6,28,1,888
209,05-04-2017,1988511,7,29,1,888
210,05-04-2017,1988531,7,5,1,1000
211,05-04-2017,1988541,94,38,1,688
212,05-04-2017,1988581,5,13,1,67000
213,05-04-2017,1988591,7,5,1,1000
214,05-04-2017,1988661,26,6,1,17545
215,05-04-2017,1988671,7,5,1,1000
216,05-04-2017,1988771,2,0,1,1088
217,05-04-2017,1988821,2,0,1,5700
218,05-04-2017,1988851,103,78,1,13000
219,05-04-2017,1988861,1,0,1,350
220,05-04-2017,1989051,51,30,1,9500
221,05-04-2017,1989061,3,1,1,1000
222,05-04-2017,1989181,31,27,1,2100
223,05-04-2017,1989211,31,27,1,6600
224,05-04-2017,1989261,31,27,1,6980
225,05-04-2017,1989311,38,85,1,5500
226,05-04-2017,1989321,88,38,1,1088
227,05-04-2017,1989351,88,38,1,1063
228,05-04-2017,1989361,13,42,1,6200
229,05-04-2017,1989391,88,38,1,625
230,05-04-2017,1989411,28,51,1,9000
231,05-04-2017,1989421,13,2,1,3250
232,05-04-2017,1989431,1,0,1,775
233,05-04-2017,1989471,28,51,1,12600
234,05-04-2017,1989481,7,1,1,6600
235,05-04-2017,1989491,96,39,1,613
236,05-04-2017,1989541,96,39,1,713
237,05-04-2017,1989571,110,33,1,20000
238,05-04-2017,1989611,43,16,1,700
239,05-04-2017,1989681,110,33,1,56000
240,05-04-2017,1989691,96,39,1,813
241,05-04-2017,1989701,96,39,1,738
242,05-04-2017,1989711,13,7,1,6000
243,05-04-2017,1989741,15,19,1,5000
244,05-04-2017,1990181,149,81,1,888
245,05-04-2017,1990221,149,81,1,888
246,05-04-2017,1990271,149,81,1,725
247,05-04-2017,1990411,1,0,1,1325
248,05-04-2017,1990521,2,43,1,5000
249,05-04-2017,1990531,126,39,1,21000
250,05-04-2017,1990541,126,39,1,17000
251,05-04-2017,1990551,18,2,1,25000
252,05-04-2017,1990561,126,39,1,21000
253,05-04-2017,1990571,18,2,1,29000
254,05-04-2017,1990581,126,39,1,18000
272,06-04-2017,1990661,127,31,1,16000
273,06-04-2017,1990951,50,21,1,10000
274,06-04-2017,1990961,2,12,1,13400
275,06-04-2017,1990971,52,33,1,7800
276,06-04-2017,1990981,3,0,1,625
775,15-04-2017,1990981,4,9,1,625
277,06-04-2017,1991031,50,55,1,46000
278,06-04-2017,1991051,1,0,1,3220
279,06-04-2017,1991081,3,59,1,625
280,06-04-2017,1991101,29,120,1,950
281,06-04-2017,1991121,29,120,1,525
282,06-04-2017,1991131,28,12,1,58000
283,06-04-2017,1992741,51,21,1,9500
284,06-04-2017,1992781,8,6,1,750
285,06-04-2017,1992801,2,1,1,14500
286,06-04-2017,1992811,5,1,1,400
287,06-04-2017,1992871,8,6,1,600
288,06-04-2017,1992951,31,120,1,800
289,06-04-2017,1992971,5,9,1,25000
290,06-04-2017,1992981,300,82,1,4500
291,06-04-2017,1993041,5,9,1,8500
292,06-04-2017,1993071,300,82,1,4200
293,06-04-2017,1993101,23,43,1,15000
294,06-04-2017,1993111,23,43,1,1800
295,06-04-2017,1993141,23,43,1,15000
296,06-04-2017,1993161,30,81,1,10600
297,06-04-2017,1993281,19,12,1,17500
298,06-04-2017,1993301,1,0,1,750
299,06-04-2017,1993321,26,4,1,800
300,06-04-2017,1993611,1,0,1,6000
301,06-04-2017,1993791,17,121,1,42000
