"","transactionId","city","users","sessions","pageviews"
"480","1993161","New Delhi",1,0,0
"481","1993281","Pune",1,0,0
"482","1993301","(not set)",1,0,0
"483","1993321","Gurgaon",1,0,0
"484","1993611","New Delhi",1,0,0
"485","1993791","New Delhi",1,0,0
"486","1993831","Howrah",1,0,0
"487","1993871","Howrah",1,0,0
"488","1993911","Bengaluru",1,0,0
"489","1993971","Pune",1,0,0
"490","1994091","Pune",1,0,0
"491","1994101","Pune",1,0,0
"492","1994141","Amritsar",1,0,0
"493","1994161","(not set)",1,0,0
"494","1994181","Gurgaon",1,0,0
"495","1994371","New Delhi",1,0,0
"496","1994381","Bengaluru",1,0,0
"497","1994421","Pune",1,0,0
"498","1994441","Bengaluru",1,0,0
"499","1994531","Bengaluru",1,0,0
"500","1994581","(not set)",1,0,0
"501","1994601","Pimpri-Chinchwad",1,0,0
"502","1994621","New Delhi",1,0,0
"503","1994641","Pune",1,0,0
"504","1994671","New Delhi",1,0,0
"505","1994681","Pune",1,0,0
"506","1994721","Jaipur",1,0,0
"507","1994761","Mumbai",1,0,0
"508","1994781","Jaipur",1,0,0
"509","1994811","Jaipur",1,0,0
"510","1994851","Jaipur",1,0,0
"511","1995401","Pune",1,0,0
"512","1995421","Pune",1,0,0
"513","1995451","Pune",1,0,0
"514","1995621","New Delhi",1,0,0
"515","1995691","New Delhi",1,0,0
"516","1995721","New Delhi",1,0,0
"517","1995891","Chennai",1,0,0
"518","1996001","New Delhi",1,0,0
"519","1996071","(not set)",1,0,0
"520","1996131","Chandigarh",1,0,0
"521","1996171","Bengaluru",1,0,0
"522","1996271","New Delhi",1,0,0
"523","1996331","Noida",1,0,0
"524","1996391","New Delhi",1,0,0
"525","1996401","Ahmedabad",1,0,0
"526","1996421","Ahmedabad",1,0,0
"527","1996431","Ahmedabad",1,0,0
"528","1996451","Ahmedabad",1,0,0
"529","1996471","Pune",1,0,0
"530","1996551","Westfield",1,0,0
"531","1996591","Pune",1,0,0
"532","1996621","Pune",1,0,0
"533","1996651","Ahmedabad",1,0,0
"534","1996681","Ahmedabad",1,0,0
"535","1996701","Ahmedabad",1,0,0
"536","1996721","(not set)",1,0,0
"537","1996821","Chandigarh",1,0,0
"538","1996891","Gurgaon",1,0,0
"539","1996901","Noida",1,0,0
"540","1996921","(not set)",1,0,0
"541","1997021","(not set)",1,0,0
"542","1997031","New Delhi",1,0,0
"543","1997041","New Delhi",1,0,0
"544","1997071","(not set)",1,0,0
"545","1997091","Gurgaon",1,0,0
"546","1997101","New Delhi",1,0,0
"547","1997111","New Delhi",1,0,0
"548","1997121","New Delhi",1,0,0
"549","1997131","New Delhi",1,0,0
"550","1997141","New Delhi",1,0,0
"551","1997171","New Delhi",1,0,0
"552","1997181","New Delhi",1,0,0
"553","1997201","New Delhi",1,0,0
"554","1997221","New Delhi",1,0,0
"555","1997231","New Delhi",1,0,0
"556","1997241","New Delhi",1,0,0
"557","1997261","New Delhi",1,0,0
"558","1997451","(not set)",1,0,0
"559","1997641","Pune",1,0,0
"560","1997661","Jaipur",1,0,0
"561","1997691","Pune",1,0,0
"562","1997711","Ahmedabad",1,0,0
"563","1998001","Mumbai",1,0,0
"564","1998041","Mumbai",1,0,0
"565","1998081","Jaipur",1,0,0
"566","1998121","Pune",1,0,0
"567","1998151","New Delhi",1,0,0
"568","1998201","Noida",1,0,0
"569","1998261","Pune",1,0,0
"570","1998321","Jaipur",1,0,0
"571","1998341","Pimpri-Chinchwad",1,0,0
"572","1998351","Jaipur",1,0,0
