GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
650,0,Chrome,none,Returning Visitor,14,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,18,5,0
625,0,Chrome,none,Returning Visitor,14,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,18,5,0
750,0,Chrome,none,Returning Visitor,14,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
10500,2,Safari,Apple,Returning Visitor,14,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,56,71,0
550,0,Chrome,none,Returning Visitor,14,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,18,5,0
9000,0,Opera,none,Returning Visitor,15,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,9,20,0
36000,2,Safari,none,Returning Visitor,15,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,16,165,0
713,0,Chrome,none,New Visitor,16,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
9000,7,Chrome,none,Returning Visitor,16,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,7,0
8000,3,Chrome,none,Returning Visitor,16,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,12,0
10000,0,Opera,none,Returning Visitor,16,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,1,0
963,0,Chrome,Samsung,Returning Visitor,17,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
6000,0,Chrome,none,Returning Visitor,17,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
7700,0,Chrome,none,Returning Visitor,18,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,29,6,0
3563,0,Chrome,none,Returning Visitor,18,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,113,16,0
825,0,Chrome,none,Returning Visitor,18,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,113,16,0
538,0,Chrome,none,Returning Visitor,18,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,113,16,0
